goos: darwin
goarch: arm64
pkg: gotypes/lessons/journey
cpu: Apple M1 Pro
BenchmarkJourney/FindMath/generation        	    6974	     18998 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/generation        	    7604	     19402 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/generation        	    7816	     19558 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/Sum/generation             	    4017	     33443 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/generation             	    3873	     34103 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/generation             	    4153	     33031 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Filter/generation          	   10000	     13861 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/generation          	   10000	     13887 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/generation          	   10000	     13875 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/FindCheap/generic          	  806790	       162.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/generic          	  784740	       153.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/generic          	  793825	       153.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindMath/generic           	    7371	     19293 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/generic           	    7647	     19187 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/generic           	    7978	     18980 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/Sum/generic                	    4058	     33385 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/generic                	    4178	     33051 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/generic                	    4266	     33039 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Filter/generic             	   10000	     14130 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/generic             	   10000	     13579 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/generic             	   10000	     13627 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/FindCheap/iterator         	  673117	       180.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/iterator         	  667515	       177.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindCheap/iterator         	  670078	       179.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkJourney/FindMath/iterator          	    7329	     19678 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/iterator          	    7756	     19355 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/FindMath/iterator          	    7058	     20456 ns/op	   19456 B/op	     896 allocs/op
BenchmarkJourney/Sum/iterator               	    3980	     32643 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/iterator               	    4122	     33092 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Sum/iterator               	    3939	     31929 ns/op	   31115 B/op	    1275 allocs/op
BenchmarkJourney/Filter/iterator            	   10000	     13996 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/iterator            	   10000	     15554 ns/op	   15360 B/op	     577 allocs/op
BenchmarkJourney/Filter/iterator            	    6667	     21755 ns/op	   15360 B/op	     577 allocs/op
BenchmarkAnyPrepared                        	  734337	       144.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAnyPrepared                        	  860420	       144.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAnyPrepared                        	  883407	       143.3 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	gotypes/lessons/journey	14.327s
